"words","type"
"bacon","cuisine"
"beer","cuisine"
"breakfast","cuisine"
"buffet","cuisine"
"cheese","cuisine"
"chicken","cuisine"
"chocolate","cuisine"
"cloakroom","cuisine"
"cook","cuisine"
"cooking","cuisine"
"course","cuisine"
"cup","cuisine"
"dessert","cuisine"
"dining","cuisine"
"room","cuisine"
"dinner","cuisine"
"dish","cuisine"
"environment","cuisine"
"equipment","cuisine"
"food","cuisine"
"fork","cuisine"
"freezer","cuisine"
"glass","cuisine"
"grill","cuisine"
"hygienic","cuisine"
"kitchen","cuisine"
"knife","cuisine"
"lunch","cuisine"
"main","cuisine"
"course","cuisine"
"meal","cuisine"
"menu","cuisine"
"napkin","cuisine"
"pastry","cuisine"
"pepper","cuisine"
"plate","cuisine"
"prepared","cuisine"
"restaurant","cuisine"
"rice","cuisine"
"roast","cuisine"
"salad","cuisine"
"salt","cuisine"
"sauce","cuisine"
"sausages","cuisine"
"secure","cuisine"
"slices","cuisine"
"soup","cuisine"
"spoon","cuisine"
"starter","cuisine"
"tip","cuisine"
"utensils","cuisine"
"vegetables","cuisine"
"vegetarian","cuisine"
"waiter","cuisine"
"waitress","cuisine"
"water","cuisine"
"weighed","cuisine"
"wine","cuisine"
"grapefruit","cuisine"
"kumquat","cuisine"
"lemon","cuisine"
"lime","cuisine"
"mandarin","cuisine"
"orange","cuisine"
"navel","cuisine"
"orange","cuisine"
"orange","cuisine"
"pink","cuisine"
"grapefruit","cuisine"
"tangerine","cuisine"
"white","cuisine"
"grapefruit","cuisine"
"bread","cuisine"
"butter","cuisine"
"plate","cuisine"
"butter","cuisine"
"dish","cuisine"
"coffee","cuisine"
"mug","cuisine"
"cup","cuisine"
"fish","cuisine"
"platter","cuisine"
"gravy","cuisine"
"boat","cuisine"
"stand","cuisine"
"pepper","cuisine"
"shaker","cuisine"
"platter","cuisine"
"rim","cuisine"
"soup","cuisine"
"bowl","cuisine"
"salad","cuisine"
"bowl","cuisine"
"salad","cuisine"
"plate","cuisine"
"salt","cuisine"
"shaker","cuisine"
"saucer","cuisine"
"serving","cuisine"
"bowl","cuisine"
"soup","cuisine"
"bowl","cuisine"
"sugar","cuisine"
"bowl","cuisine"
"tea","cuisine"
"cup","cuisine"
"water","cuisine"
"pitcher","cuisine"
"apple","cuisine"
"apricot","cuisine"
"banana","cuisine"
"blackberry","cuisine"
"blueberry","cuisine"
"cherry","cuisine"
"cranberry","cuisine"
"currant","cuisine"
"fig","cuisine"
"grape","cuisine"
"grapefruit","cuisine"
"grapes","cuisine"
"kiwi","cuisine"
"kumquat","cuisine"
"lemon","cuisine"
"lime","cuisine"
"melon","cuisine"
"nectarine","cuisine"
"orange","cuisine"
"peach","cuisine"
"pear","cuisine"
"persimmon","cuisine"
"pineapple","cuisine"
"plum","cuisine"
"pomegranate","cuisine"
"prune","cuisine"
"raspberry","cuisine"
"strawberry","cuisine"
"tangerine","cuisine"
"watermelon","cuisine"
"barley","cuisine"
"corn","cuisine"
"millet","cuisine"
"oats","cuisine"
"rice","cuisine"
"rye","cuisine"
"brown","cuisine"
"rice","cuisine"
"short","cuisine"
"grain","cuisine"
"rice","cuisine"
"long","cuisine"
"grain","cuisine"
"rice","cuisine"
"rye","cuisine"
"soy","cuisine"
"beans","cuisine"
"wheat","cuisine"
"boning","cuisine"
"knife","cuisine"
"bread","cuisine"
"knife","cuisine"
"butcher","cuisine"
"knife","cuisine"
"butter","cuisine"
"knife","cuisine"
"cleaver","cuisine"
"filleting","cuisine"
"knife","cuisine"
"grapefruit","cuisine"
"knife","cuisine"
"ham","cuisine"
"knife","cuisine"
"kitchen","cuisine"
"knife","cuisine"
"oyster","cuisine"
"knife","cuisine"
"paring","cuisine"
"knife","cuisine"
"steak","cuisine"
"knife","cuisine"
"alphabet","cuisine"
"bows","cuisine"
"cappelletti","cuisine"
"curly","cuisine"
"lasagna","cuisine"
"elbow","cuisine"
"macaroni","cuisine"
"fedelini","cuisine"
"lasagna","cuisine"
"noodles","cuisine"
"ravioli","cuisine"
"ribbed","cuisine"
"macaroni","cuisine"
"shells","cuisine"
"spaghetti","cuisine"
"stars","cuisine"
"thin","cuisine"
"macaroni","cuisine"
"thin","cuisine"
"spaghetti","cuisine"
"tortellini","cuisine"
"turrets","cuisine"
"vermicelli","cuisine"
"wheels","cuisine"
"biscuits","cuisine"
"brown","cuisine"
"bread","cuisine"
"cake","cuisine"
"cheese","cuisine"
"sticks","cuisine"
"coffee","cuisine"
"cake","cuisine"
"cookies","cuisine"
"corn","cuisine"
"bread","cuisine"
"crackers","cuisine"
"croissant","cuisine"
"doughnuts","cuisine"
"english","cuisine"
"muffins","cuisine"
"garlic","cuisine"
"bread","cuisine"
"hard","cuisine"
"rolls","cuisine"
"muffins","cuisine"
"pancakes","cuisine"
"pie","cuisine"
"rolls","cuisine"
"rye","cuisine"
"bread","cuisine"
"sourdough","cuisine"
"bread","cuisine"
"sweet","cuisine"
"rolls","cuisine"
"waffles","cuisine"
"wheat","cuisine"
"bread","cuisine"
"white","cuisine"
"bread","cuisine"
"relish","cuisine"
"sweet","cuisine"
"pickle","cuisine"
"dill","cuisine"
"pickle","cuisine"
"ketchup","cuisine"
"mustard","cuisine"
"mayonnaise","cuisine"
"catsup","cuisine"
"olive","cuisine"
"sour","cuisine"
"cream","cuisine"
"salt","cuisine"
"pepper","cuisine"
"sauce","cuisine"
"vegeterian","cuisine"
"apple","cuisine"
"pie","cuisine"
"birthday","cuisine"
"cake","cuisine"
"cake","cuisine"
"candy","cuisine"
"chocolate","cuisine"
"cake","cuisine"
"chocolate","cuisine"
"bar","cuisine"
"chocolate","cuisine"
"chip","cuisine"
"cookie","cuisine"
"cookies","cuisine"
"donut","cuisine"
"doughnuts","cuisine"
"fruit","cuisine"
"ice","cuisine"
"cream","cuisine"
"muffin","cuisine"
"pie","cuisine"
"pie","cuisine"
"la","cuisine"
"mode","cuisine"
"potato","cuisine"
"chips","cuisine"
"pudding","cuisine"
"sweet","cuisine"
"rolls","cuisine"
"whip","cuisine"
"cream","cuisine"
"beer","cuisine"
"brandy","cuisine"
"cocoa","cuisine"
"cocktail","cuisine"
"coffee","cuisine"
"coke","cuisine"
"green","cuisine"
"tea","cuisine"
"ice","cuisine"
"coffee","cuisine"
"ice","cuisine"
"tea","cuisine"
"juice","cuisine"
"lemonade","cuisine"
"liquor","cuisine"
"milk","cuisine"
"milkshake","cuisine"
"orange","cuisine"
"juice","cuisine"
"punch","cuisine"
"soda","cuisine"
"soft","cuisine"
"drink","cuisine"
"tea","cuisine"
"tomato","cuisine"
"juice","cuisine"
"water","cuisine"
"whiskey","cuisine"
"wine","cuisine"
"bagel","cuisine"
"bread","cuisine"
"cereal","cuisine"
"cheese","cuisine"
"croissant","cuisine"
"egg","cuisine"
"fish","cuisine"
"ketchup","cuisine"
"mayonnaise","cuisine"
"noodles","cuisine"
"pancakes","cuisine"
"pasta","cuisine"
"peanuts","cuisine"
"rice","cuisine"
"roll","cuisine"
"salad","cuisine"
"sandwich","cuisine"
"shrimp","cuisine"
"toast","cuisine"
"bacon","cuisine"
"beef","cuisine"
"chicken","cuisine"
"chicken","cuisine"
"breast","cuisine"
"chicken","cuisine"
"leg","cuisine"
"chicken","cuisine"
"wing","cuisine"
"ham","cuisine"
"hamburger","cuisine"
"heart","cuisine"
"hot","cuisine"
"dog","cuisine"
"kidney","cuisine"
"lamb","cuisine"
"chop","cuisine"
"mutton","cuisine"
"pork","cuisine"
"roast","cuisine"
"sausage","cuisine"
"steak","cuisine"
"tongue","cuisine"
"turkey","cuisine"
"veal","cuisine"
"venison","cuisine"
"bill","cuisine"
"breakfast","cuisine"
"check","cuisine"
"cup","cuisine"
"dessert","cuisine"
"dinner","cuisine"
"dressing","cuisine"
"drink","cuisine"
"fork","cuisine"
"hamburger","cuisine"
"knife","cuisine"
"lunch","cuisine"
"menu","cuisine"
"napkin","cuisine"
"order","cuisine"
"salt","cuisine"
"spoon","cuisine"
"water","cuisine"
"coffee","cuisine"
"tea","cuisine"
"blue","cuisine"
"cheese","cuisine"
"french","cuisine"
"dressing","cuisine"
"house","cuisine"
"dressing","cuisine"
"thousand","cuisine"
"island","cuisine"
"vinegar","cuisine"
"ranch","cuisine"
"oil","cuisine"
"vinegar","cuisine"
"asparagus","cuisine"
"beans","cuisine"
"beet","cuisine"
"broccoli","cuisine"
"brussels","cuisine"
"sprouts","cuisine"
"cabbage","cuisine"
"carrot","cuisine"
"cauliflower","cuisine"
"celery","cuisine"
"chinese","cuisine"
"cabbage","cuisine"
"corn","cuisine"
"cucumber","cuisine"
"eggplant","cuisine"
"green","cuisine"
"pepper","cuisine"
"japanese","cuisine"
"radish","cuisine"
"kale","cuisine"
"lettuce","cuisine"
"okra","cuisine"
"onion","cuisine"
"peas","cuisine"
"potato","cuisine"
"pumpkins","cuisine"
"radish","cuisine"
"spinach","cuisine"
"sweet","cuisine"
"potato","cuisine"
"tomatoes","cuisine"
"turnips","cuisine"
"cheese","cuisine"
"cream","cuisine"
"ice","cuisine"
"cream","cuisine"
"milk","cuisine"
"yogurt","cuisine"
"beans","cuisine"
"bread","cuisine"
"cereal","cuisine"
"eggs","cuisine"
"fats","cuisine"
"fish","cuisine"
"fruit","cuisine"
"meat","cuisine"
"nuts","cuisine"
"oils","cuisine"
"pasta","cuisine"
"poultry","cuisine"
"rice","cuisine"
"sweets","cuisine"
"vegetables","cuisine"
"bag","cuisine"
"potatoes","cuisine"
"bottle","cuisine"
"ketchup","cuisine"
"corn","cuisine"
"carton","cuisine"
"milk","cuisine"
"jar","cuisine"
"pickles","cuisine"
"loaf","cuisine"
"bread","cuisine"
"package","cuisine"
"cheese","cuisine"
