"words","type"
"afghanistan","International News"
"mohammad","International News"
"ashraf","International News"
"ghani","International News"
"albania","International News"
"ilir","International News"
"meta","International News"
"bujar","International News"
"nishani","International News"
"edi","International News"
"rama","International News"
"algeria","International News"
"abdelaziz","International News"
"bouteflika","International News"
"ahmed","International News"
"ouyahia","International News"
"angola","International News"
"jose","International News"
"eduardo","International News"
"dos","International News"
"santos","International News"
"antigua","International News"
"and","International News"
"barbuda","International News"
"governor","International News"
"general","International News"
"sir","International News"
"rodney","International News"
"williams","International News"
"gaston","International News"
"browne","International News"
"armenia","International News"
"armen","International News"
"sarkissian","International News"
"nikol","International News"
"pashinyan","International News"
"argentina","International News"
"mauricio","International News"
"macri","International News"
"aruba","International News"
"governor","International News"
"general","International News"
"alfonso","International News"
"boekhoudt","International News"
"evelyn","International News"
"wevercroes","International News"
"australia","International News"
"governor","International News"
"generalsir","International News"
"peter","International News"
"cosgrove","International News"
"malcolm","International News"
"turnbull","International News"
"austria","International News"
"alexander","International News"
"van","International News"
"der","International News"
"bellen","International News"
"christian","International News"
"kern","International News"
"azerbaijan","International News"
"ilham","International News"
"aliyev","International News"
"artur","International News"
"rasizade","International News"
"bahamas","International News"
"governor","International News"
"general","International News"
"marguerite","International News"
"pindling","International News"
"hubert","International News"
"minnis","International News"
"bahrain","International News"
"king","International News"
"hamad","International News"
"bin","International News"
"isa","International News"
"al","International News"
"khalifa","International News"
"khalifa","International News"
"bin","International News"
"salman","International News"
"al","International News"
"khalifa","International News"
"bangladesh","International News"
"abdul","International News"
"hamid","International News"
"sheikh","International News"
"hasina","International News"
"barbados","International News"
"freundel","International News"
"stuart","International News"
"freundel","International News"
"stuart","International News"
"belarus","International News"
"aleksandr","International News"
"lukashenko","International News"
"andrei","International News"
"kobyakov","International News"
"belgium","International News"
"king","International News"
"philippe","International News"
"charles","International News"
"michel","International News"
"belize","International News"
"governor","International News"
"general","International News"
"sir","International News"
"colville","International News"
"young","International News"
"dean","International News"
"oliver","International News"
"barrow","International News"
"benin","International News"
"thomas","International News"
"boni","International News"
"yayi","International News"
"lionel","International News"
"zinsou","International News"
"bhutan","International News"
"king","International News"
"jigme","International News"
"khesar","International News"
"namgyel","International News"
"wangchuck","International News"
"tshering","International News"
"tobgay","International News"
"bolivia","International News"
"juan","International News"
"evo","International News"
"morales","International News"
"ayma","International News"
"botswana","International News"
"seretse","International News"
"khama","International News"
"ian","International News"
"khama","International News"
"brazil","International News"
"michel","International News"
"temer","International News"
"brunei","International News"
"sultan","International News"
"sir","International News"
"hassanal","International News"
"bolkiah","International News"
"sir","International News"
"hassanal","International News"
"bolkiah","International News"
"bulgaria","International News"
"rumen","International News"
"radev","International News"
"boyko","International News"
"borisov","International News"
"burundi","International News"
"pierre","International News"
"nkurunziza","International News"
"cambodia","International News"
"king","International News"
"norodom","International News"
"sihamoni","International News"
"hun","International News"
"sen","International News"
"cameroon","International News"
"paul","International News"
"biya","International News"
"philemon","International News"
"yang","International News"
"canada","International News"
"governor","International News"
"general","International News"
"david","International News"
"johnston","International News"
"justin","International News"
"trudeau","International News"
"chile","International News"
"michelle","International News"
"bachelettraffic","International News"
"has","International News"
"dwindled","International News"
"to","International News"
"a","International News"
"trickle","International News"
"china","International News"
"xi","International News"
"jinping","International News"
"li","International News"
"keqiang","International News"
"colombia","International News"
"juan","International News"
"manuel","International News"
"santos","International News"
"croatia","International News"
"kolinda","International News"
"grabarkitarovic","International News"
"andrej","International News"
"plenkovic","International News"
"cyprus","International News"
"nicos","International News"
"anastasiades","International News"
"denmark","International News"
"queen","International News"
"margrethe","International News"
"ii","International News"
"lars","International News"
"løkke","International News"
"rasmussen","International News"
"egypt","International News"
"abdelfattah","International News"
"elsissi","International News"
"ibrahim","International News"
"mahlab","International News"
"estonia","International News"
"kersti","International News"
"kaljulaid","International News"
"jüri","International News"
"ratas","International News"
"ethiopia","International News"
"mulatu","International News"
"teshome","International News"
"abiy","International News"
"ahmed","International News"
"fiji","International News"
"jioji","International News"
"konrote","International News"
"frank","International News"
"bainimarama","International News"
"finland","International News"
"sauli","International News"
"niinisto","International News"
"juha","International News"
"sipila","International News"
"france","International News"
"emmanuel","International News"
"macron","International News"
"édouard","International News"
"philippe","International News"
"georgia","International News"
"giorgi","International News"
"margvelashvil","International News"
"giorgi","International News"
"kvirikashvili","International News"
"germany","International News"
"frankwalter","International News"
"steinmeier","International News"
"chancellor","International News"
"angela","International News"
"merkel","International News"
"ghana","International News"
"nana","International News"
"akufoaddo","International News"
"greece","International News"
"prokopis","International News"
"pavlopoulos","International News"
"alexis","International News"
"tsipras","International News"
"guatemala","International News"
"jimmy","International News"
"morales","International News"
"guinea","International News"
"alpha","International News"
"conde","International News"
"mamady","International News"
"youla","International News"
"india","International News"
"ram","International News"
"nath","International News"
"kovind","International News"
"narendra","International News"
"modi","International News"
"indonesia","International News"
"joko","International News"
"widodo","International News"
"iran","International News"
"hassan","International News"
"rouhani","International News"
"supreme","International News"
"leader","International News"
"ali","International News"
"khamenei","International News"
"iraq","International News"
"fuad","International News"
"masum","International News"
"haider","International News"
"alabadi","International News"
"ireland","International News"
"michael","International News"
"daniel","International News"
"higgins","International News"
"leo","International News"
"varadkar","International News"
"israel","International News"
"reuven","International News"
"rivlin","International News"
"binyamin","International News"
"bibi","International News"
"netanyahu","International News"
"italy","International News"
"sergio","International News"
"mattarella","International News"
"paolo","International News"
"gentiloni","International News"
"jamaica","International News"
"governor","International News"
"general","International News"
"sir","International News"
"patrick","International News"
"allen","International News"
"andrew","International News"
"holness","International News"
"japan","International News"
"emperor","International News"
"akihito","International News"
"shinzo","International News"
"abe","International News"
"jordan","International News"
"king","International News"
"abdallah","International News"
"ii","International News"
"hani","International News"
"almulki","International News"
"kazakhstan","International News"
"nursultan","International News"
"nazarbayev","International News"
"bakytzhan","International News"
"sagintayev","International News"
"korea","International News"
"north","International News"
"supreme","International News"
"leader","International News"
"kim","International News"
"jongun","International News"
"korea","International News"
"south","International News"
"park","International News"
"geunhye","International News"
"lee","International News"
"nakyeon","International News"
"kuwait","International News"
"emir","International News"
"jaber","International News"
"alahmad","International News"
"alsabah","International News"
"jabir","International News"
"almubarak","International News"
"alhamad","International News"
"alsabah","International News"
"lebanon","International News"
"michel","International News"
"aoun","International News"
"saad","International News"
"hariri","International News"
"libya","International News"
"magariaf","International News"
"fayez","International News"
"alsarraj","International News"
"malaysia","International News"
"king","International News"
"muhammad","International News"
"v","International News"
"of","International News"
"kelantan","International News"
"najib","International News"
"razak","International News"
"maldives","International News"
"abdulla","International News"
"yameen","International News"
"abdul","International News"
"gayoom","International News"
"mali","International News"
"ibrahim","International News"
"boubacar","International News"
"keita","International News"
"modibo","International News"
"keita","International News"
"mauritius","International News"
"ameenah","International News"
"guribfakim","International News"
"pravind","International News"
"jugnauth","International News"
"mexico","International News"
"enrique","International News"
"pena","International News"
"nieto","International News"
"morocco","International News"
"king","International News"
"mohammed","International News"
"vi","International News"
"saadeddine","International News"
"othmani","International News"
"myanmar","International News"
"aung","International News"
"san","International News"
"suu","International News"
"kyi","International News"
"namibia","International News"
"hage","International News"
"geingob","International News"
"saara","International News"
"kuugongelwaamadhila","International News"
"nepal","International News"
"bidhya","International News"
"devi","International News"
"bhandari","International News"
"khadga","International News"
"prasad","International News"
"sharma","International News"
"oli","International News"
"netherlands","International News"
"king","International News"
"willemalexander","International News"
"mark","International News"
"rutte","International News"
"new","International News"
"zealand","International News"
"governor","International News"
"general","International News"
"patsy","International News"
"reddy","International News"
"john","International News"
"phillip","International News"
"key","International News"
"oman","International News"
"qaboos","International News"
"bin","International News"
"said","International News"
"al","International News"
"said","International News"
"fahd","International News"
"bin","International News"
"mahmoud","International News"
"al","International News"
"said","International News"
"pakistan","International News"
"mamnoon","International News"
"hussain","International News"
"shahid","International News"
"khaqan","International News"
"abbasi","International News"
"philippines","International News"
"rodrigo","International News"
"duterte","International News"
"portugal","International News"
"marcelo","International News"
"rebelo","International News"
"de","International News"
"sousa","International News"
"eduardo","International News"
"ferro","International News"
"rodrigues","International News"
"antónio","International News"
"costa","International News"
"qatar","International News"
"emir","International News"
"sheikh","International News"
"tamim","International News"
"bin","International News"
"hamad","International News"
"al","International News"
"thani","International News"
"abdallah","International News"
"bin","International News"
"nasir","International News"
"bin","International News"
"khalifa","International News"
"al","International News"
"thani","International News"
"romania","International News"
"klaus","International News"
"iohannis","International News"
"viorica","International News"
"dancila","International News"
