"names","type"
"absentee","politics"
"accountable","politics"
"activist","politics"
"adverse","politics"
"advertising","politics"
"advice","politics"
"advise","politics"
"affiliation","politics"
"aggressive","politics"
"amendment","politics"
"announcement","politics"
"anthem","politics"
"appeal","politics"
"appearanceappoint","politics"
"approach","politics"
"appropriation","politics"
"arguments","politics"
"articulate","politics"
"aspiration","politics"
"asset","politics"
"assimilation","politics"
"at","politics"
"large","politics"
"audience","politics"
"authorization","politics"
"background","politics"
"bait","politics"
"balancedbudget","politics"
"ballot","politics"
"ballotbox","politics"
"bandwagon","politics"
"barnstorm","politics"
"behavior","politics"
"beliefs","politics"
"biannual","politics"
"bias","politics"
"bicameral","politics"
"bill","politics"
"bipartisan","politics"
"boondoggle","politics"
"brochure","politics"
"budget","politics"
"bunk","politics"
"bureaucracy","politics"
"cabinet","politics"
"campaign","politics"
"candidate","politics"
"canvass","politics"
"capitalize","politics"
"career","politics"
"catalyst","politics"
"caucus","politics"
"ceiling","politics"
"centrist","politics"
"challenge","politics"
"challenger","politics"
"changes","politics"
"charismatic","politics"
"checksandbalances","politics"
"choice","politics"
"citation","politics"
"civic","politics"
"coalition","politics"
"coast-to-coast","politics"
"coattail","politics"
"collaboration","politics"
"colleague","politics"
"collective","politics"
"commitments","politics"
"committee","politics"
"commonality","politics"
"communication","politics"
"compassionconcede","politics"
"concessions","politics"
"confidence","politics"
"congress","politics"
"congressional","politics"
"conscience","politics"
"consequence","politics"
"conservative","politics"
"constituent","politics"
"constitution","politics"
"consultation","politics"
"contribution","politics"
"controversy","politics"
"convene","politics"
"convention","politics"
"council","politics"
"curiosity","politics"
"cycle","politics"
"darkhorse","politics"
"debate","politics"
"decision","politics"
"decisive","politics"
"declarationdefeat","politics"
"deficit","politics"
"delegate","politics"
"deliberate","politics"
"deliberation","politics"
"democracy","politics"
"democrat","politics"
"democratic","politics"
"derision","politics"
"destiny","politics"
"diligent","politics"
"diplomat","politics"
"disapproval","politics"
"discoursediscreet","politics"
"discussion","politics"
"disheartened","politics"
"dishonesty","politics"
"dissatisfaction","politics"
"district","politics"
"distrust","politics"
"diverse","politics"
"division","politics"
"dogma","politics"
"dominate","politics"
"donation","politics"
"donor","politics"
"dossierdynamic","politics"
"effective","politics"
"efficient","politics"
"elation","politics"
"electoralcollege","politics"
"elevate","politics"
"eloquence","politics"
"emphasis","politics"
"enact","politics"
"endorsement","politics"
"engaging","politics"
"equal","politics"
"ethics","politics"
"euphoria","politics"
"excessive","politics"
"executive","politics"
"exitpoll","politics"
"experience","politics"
"faction","politics"
"federal","politics"
"feud","politics"
"filibuster","politics"
"flawed","politics"
"focus","politics"
"forum","politics"
"fraud","politics"
"freedom","politics"
"front","politics"
"runner","politics"
"fundamental","politics"
"funding","politics"
"fundraiser","politics"
"gambit","politics"
"gerrymander","politics"
"glaring","politics"
"gop","politics"
"government","politics"
"grass","politics"
"roots","politics"
"grateful","politics"
"handshakes","politics"
"hard","politics"
"money","politics"
"hatch","politics"
"act","politics"
"heckle","politics"
"historic","politics"
"honestyhooray","politics"
"hypocrisy","politics"
"bjp","politics"
"narendra","politics"
"modi","politics"
"namo","politics"
"modi","politics"
"mamta","politics"
"banerjee","politics"
"bsp","politics"
"sp","politics"
"nitish","politics"
"shivsena","politics"
"uddhav","politics"
"raj","politics"
"thackeray","politics"
"hindu","politics"
"muslim","politics"
"islamic","politics"
"aimim","politics"
"vote","politics"
"votes","politics"
"pole","politics"
"evm","politics"
"election","politics"
"commission","politics"
"india","politics"
"america","politics"
"pakistan","politics"
"isi","politics"
"azhar","politics"
"masood","politics"
"uri","politics"
"surgical","politics"
"strike","politics"
"ballot","politics"
"rahulgandhi","politics"
"pappu","politics"
"congress","politics"
"scam","politics"
"rss","politics"
"minister","politics"
"ministry","politics"
"foreign","politics"
"ministry","politics"
"economic","politics"
"rashtravadi","politics"
"priyanka","politics"
"terrorism","politics"
"terrorist","politics"
"manifesto","politics"
"government","politics"
"loksabha","politics"
"police","politics"
"security","politics"
"army","politics"
"indian","politics"
"immigrants","politics"
"impound","politics"
"inalienableincentive","politics"
"incorporate","politics"
"incumbency","politics"
"incumbent","politics"
"independent","politics"
"independent","politics"
"indulge","politics"
"infallible","politics"
"influx","politics"
"informative","politics"
"initiative","politics"
"innuendo","politics"
"inspiringintegrity","politics"
"interests","politics"
"investigate","politics"
"involvement","politics"
"irresponsible","politics"
"issues","politics"
"jeopardy","politics"
"jubilant","politics"
"judge","politics"
"judicial","politics"
"keen","politics"
"knowledge","politics"
"lameduck","politics"
"landslide","politics"
"lawleader","politics"
"leadership","politics"
"leanings","politics"
"legal","politics"
"legalization","politics"
"legislature","politics"
"liberal","politics"
"listening","politics"
"lobbyist","politics"
"lone","politics"
"loser","politics"
"loss","politics"
"loyalty","politics"
"magistrate","politics"
"majoritymandate","politics"
"meaningful","politics"
"measures","politics"
"media","politics"
"meetings","politics"
"mentor","politics"
"midtermelection","politics"
"minority","politics"
"misinformation","politics"
"motives","politics"
"mudslinging","politics"
"national","politics"
"nationwidenegativity","politics"
"network","politics"
"nominate","politics"
"nominee","politics"
"nonpartisan","politics"
"obligation","politics"
"obsequious","politics"
"offensive","politics"
"office","politics"
"official","politics"
"oldboy","politics"
"opine","politics"
"opinion","politics"
"opinionatedopportunity","politics"
"opposition","politics"
"orator","politics"
"outspoken","politics"
"ovation","politics"
"pac","politics"
"pamphlets","politics"
"pardon","politics"
"participation","politics"
"partisanship","politics"
"party","politics"
"patriotism","politics"
"petition","politics"
"platformpledge","politics"
"plurality","politics"
"polarize","politics"
"policy","politics"
"polite","politics"
"politician","politics"
"politics","politics"
"poll","politics"
"pollingplace","politics"
"pollster","politics"
"popular","politics"
"popularity","politics"
"porkbarrel","politics"
"position","politics"
"paperpragmatist","politics"
"praise","politics"
"precinct","politics"
"predictions","politics"
"prescient","politics"
"press","politics"
"pride","politics"
"primary","politics"
"priority","politics"
"proactive","politics"
"process","politics"
"progressive","politics"
"projectionpromises","politics"
"propaganda","politics"
"proponent","politics"
"proposal","politics"
"purpose","politics"
"query","politics"
"quest","politics"
"questions","politics"
"quorum","politics"
"quotes","politics"
"race","politics"
"ratify","politics"
"re-election","politics"
"reapportionment","politics"
"recallrecognition","politics"
"reconciliation","politics"
"recount","politics"
"recrimination","politics"
"redistrict","politics"
