"names","type"
"adobe","technology"
"acrobat","technology"
"reader","technology"
"adsl","technology"
"analogue","technology"
"assistive","technology"
"technology","technology"
"attachment","technology"
"back-end","technology"
"backward","technology"
"compatible","technology"
"microsoft","technology"
"files","technology"
"invention","technology"
"ai","technology"
"artificial","technology"
"intelligence","technology"
"computer","technology"
"vision","technology"
"computer","technology"
"deep","technology"
"neural","technology"
"networks","technology"
"network","technology"
"communication","technology"
"optical","technology"
"fibre","technology"
"optical","technology"
"quantum","technology"
"statistics","technology"
"data","technology"
"science","technology"
"data","technology"
"science","technology"
"tech","technology"
"technology","technology"
"bandwidth","technology"
"bit","technology"
"bluetooth","technology"
"byte","technology"
"bookmark","technology"
"boolean","technology"
"operators","technology"
"boot","technology"
"reboot","technology"
"bounce","technology"
"back","technology"
"hard","technology"
"disk","technology"
"email","technology"
"error","technology"
"sender","technology"
"web","technology"
"website","technology"
"address","technology"
"broadband","technology"
"browser","technology"
"mozilla","technology"
"firefox","technology"
"internet","technology"
"explorer","technology"
"page","technology"
"refresh","technology"
"version","technology"
"cache","technology"
"update","technology"
"cad","technology"
"computer-aided","technology"
"design","technology"
"2d","technology"
"3d","technology"
"cpu","technology"
"central","technology"
"processing","technology"
"unit","technology"
"speed","technology"
"cloud","technology"
"service","technology"
"icloud","technology"
"dropbox","technology"
"facebook","technology"
"apple","technology"
"iphone","technology"
"mac","technology"
"ios","technology"
"itunes","technology"
"android","technology"
"chip","technology"
"microprocessor","technology"
"program","technology"
"drive","technology"
"python","technology"
"c++","technology"
"julia","technology"
"swift","technology"
"java","technology"
"javascript","technology"
"tensorflow","technology"
"tf","technology"
"pytorch","technology"
"gans","technology"
"generative","technology"
"adversarial","technology"
"networks","technology"
"cnn","technology"
"rnn","technology"
"torchvision","technology"
"batch","technology"
"normalization","technology"
"geek","technology"
"developers","technology"
"data","technology"
"driven","technology"
"code","technology"
"cookie","technology"
"compression","technology"
"computing","technology"
"super","technology"
"computers","technology"
"brain","technology"
"mimic","technology"
"human","technology"
"weight","technology"
"input","technology"
"output","technology"
"cyber","technology"
"crimeunauthorised","technology"
"authorised","technology"
"cybersecurity","technology"
"domain","technology"
"device","technology"
"download","technology"
"hackers","technology"
"hack","technology"
"carsh","technology"
"server","technology"
"client","technology"
"software","technology"
"remote","technology"
"digital","technology"
"video","technology"
"analytics","technology"
"firewall","technology"
"trusted","technology"
"virus","technology"
"antivirus","technology"
"avast","technology"
"breach","technology"
"leak","technology"
"connections","technology"
"fttp","technology"
"ftp","technology"
"http","technology"
"https","technology"
